Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
1,0.437,123.035,3.784,0,12
2,0.874,123.035,9.892,2,32
3,1.311,123.035,9.216,2,24
4,1.748,123.035,4.73,0,14
5,2.185,123.035,6.73,0,27
6,2.622,123.035,7.973,0,36
7,3.059,123.035,9.081,0,24
8,3.496,123.035,8.811,0,34
9,3.933,123.035,6.297,0,17
10,4.37,123.035,5.676,0,14
11,4.807,123.035,7.054,0,17
12,5.244,123.035,2.973,0,12
13,5.681,123.035,8.405,0,19
14,6.118,123.035,8.757,0,32
15,6.555,123.035,4.838,0,12
16,6.992,123.035,7.649,0,39
17,7.429,123.035,7.595,0,34
18,7.866,123.035,4.622,0,17
19,8.303,123.035,8.73,0,36
20,8.74,123.035,7.973,2,29
21,9.177,123.035,5,0,24
22,9.614,123.035,7.27,0,27
23,10.051,123.035,7.459,0,29
24,10.488,123.035,4,0,12
25,10.925,123.035,6.838,0,24
26,11.362,123.035,5.081,0,14
27,11.799,123.035,4.973,0,24
28,12.236,123.035,6,0,34
29,12.673,123.035,6.162,0,14
30,13.11,123.035,5.459,0,17
31,13.547,123.035,4.784,0,19
32,13.984,123.035,3.919,0,12
33,14.421,123.035,6.135,0,24
34,14.858,123.035,6.946,0,27
35,15.295,123.035,3.324,0,12
36,15.732,123.035,5.297,0,19
37,16.169,123.035,6.351,0,39
38,16.606,123.035,5.595,0,17
39,17.043,123.035,6.892,0,32
40,17.48,123.035,6.919,0,19
41,17.917,123.035,7,0,24
42,18.354,123.035,7.946,0,24
43,18.791,123.035,6.865,0,22
44,19.228,123.035,6.703,0,22
45,19.665,123.035,9.649,2,24
46,20.102,123.035,3.784,0,12
47,20.539,123.035,6.459,0,29
48,20.976,123.035,8.838,0,44
49,21.413,123.035,3.486,0,17
50,21.85,123.035,3.135,0,12
51,22.287,123.035,4.649,0,17
52,22.724,123.035,3.486,0,17
53,23.161,123.035,4.486,0,12
54,23.598,123.035,5.054,0,27
55,24.035,123.035,3.703,0,17
56,24.472,123.035,3.108,0,14
57,24.909,123.035,2.73,0,14
58,25.346,123.035,4.027,0,14
59,25.783,123.035,4.324,0,17
60,26.22,123.035,3.189,0,12
61,26.657,123.035,4.405,0,14
62,27.094,123.035,3.973,0,12
63,27.531,123.035,3.595,0,12
64,27.968,123.035,3.973,0,14
65,28.405,123.035,3.162,0,12
66,28.842,123.035,4.622,0,19
67,29.279,123.035,4.919,0,14
68,29.716,123.035,10.946,0,54
69,30.153,123.035,6.432,0,17
70,30.59,123.035,7.27,0,19
71,31.027,123.035,4.973,0,17
72,31.464,123.035,8.486,0,59
73,31.901,123.035,7.243,0,36
74,32.338,123.035,3.108,0,9
75,32.775,123.035,6.784,0,29
76,33.212,123.035,8.27,0,27
77,33.649,123.035,5.73,0,14
78,34.086,123.035,11.297,0,49
79,34.523,123.035,10.405,0,36
80,34.96,123.035,10.838,0,27
81,35.397,123.035,9.757,0,24
82,35.834,123.035,9.324,0,27
83,36.271,123.035,9.541,0,39
84,36.708,123.035,8.135,0,29
85,37.145,123.035,7.108,0,24
86,37.582,123.035,10.27,0,32
87,38.019,123.035,7.324,0,27
88,38.456,123.035,9.892,0,27
89,38.893,123.035,8.811,0,27
90,39.33,123.035,8.676,0,27
91,39.767,123.035,7.73,0,24
92,40.204,123.035,9.838,0,22
