Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
1,0.74,110.026,5.157,0,29
2,1.48,110.026,4.542,0,29
3,2.22,110.026,3.514,0,17
4,2.96,110.026,3.935,0,23
5,3.7,110.026,4.019,0,23
6,4.44,110.026,4.931,0,29
7,5.18,110.026,5.181,0,23
8,5.92,110.026,3.907,0,23
9,6.66,110.026,3.769,0,17
10,7.4,110.026,3.667,0,23
11,8.14,110.026,3.537,0,23
12,8.88,110.026,3.981,0,23
13,9.62,110.026,4.801,0,23
14,10.36,110.026,3.5,0,35
15,11.1,110.026,4.495,0,29
16,11.84,110.026,4.278,0,17
17,12.58,110.026,3.259,0,17
18,13.32,110.026,3.384,0,17
19,14.06,110.026,3.815,0,23
20,14.8,110.026,4.583,0,23
21,15.54,110.026,4.477,0,29
22,16.28,110.026,4.222,0,23
23,17.02,110.026,3.981,0,29
24,17.76,110.026,4.287,0,23
25,18.5,110.026,3.847,0,23
26,19.24,110.026,3.958,0,23
27,19.98,110.026,4.153,0,29
28,20.72,110.026,3.769,0,23
29,21.46,110.026,3.324,0,23
30,22.2,110.026,3.282,0,23
31,22.94,110.026,4.148,0,41
32,23.68,110.026,4.097,0,35
33,24.42,110.026,3.926,0,23
34,25.16,110.026,4.25,0,29
35,25.9,110.026,3.991,0,17
36,26.64,110.026,3.806,0,23
37,27.38,110.026,3.681,0,23
38,28.12,110.026,4.94,0,23
39,28.86,110.026,4.5,0,29
40,29.6,110.026,3.81,0,29
41,30.34,110.026,4.329,0,29
42,31.08,110.026,3.991,0,29
43,31.82,110.026,3.824,0,23
44,32.56,110.026,4.542,0,71
45,33.3,110.026,3.958,0,23
46,34.04,110.026,3.88,0,23
47,34.78,110.026,4.444,0,23
48,35.52,110.026,3.884,0,23
49,36.26,110.026,4.38,0,23
50,37,110.026,3.903,0,23
51,37.74,110.026,4.074,0,29
52,38.48,110.026,4.014,0,29
53,39.22,110.026,3.319,0,23
54,39.96,110.026,4.25,0,23
55,40.7,110.026,3.917,0,29
56,41.44,110.026,4.014,0,29
57,42.18,110.026,3.569,0,23
58,42.92,110.026,4.565,0,23
59,43.66,110.026,4.801,0,23
60,44.4,110.026,3.94,0,23
61,45.14,110.026,4.037,0,23
62,45.88,110.026,3.667,0,17
63,46.62,110.026,4.843,0,183
64,47.36,110.026,4.023,0,23
65,48.1,110.026,3.829,0,17
66,48.84,110.026,3.523,0,23
67,49.58,110.026,4.486,0,29
68,50.32,110.026,5.282,0,29
69,51.06,110.026,5.81,0,29
70,51.8,110.026,5.528,0,29
71,52.54,110.026,3.648,0,23
72,53.28,110.026,5.31,0,35
73,54.02,110.026,5.306,0,29
74,54.76,110.026,4.426,0,23
75,55.5,110.026,4.694,0,29
76,56.24,110.026,4.356,0,23
77,56.98,110.026,5.366,0,41
78,57.72,110.026,4.866,0,29
79,58.46,110.026,4.588,0,35
80,59.2,110.026,4.704,0,29
81,59.94,110.026,4.833,0,23
82,60.68,110.026,4.241,0,23
83,61.42,110.026,4.093,0,23
84,62.16,110.026,4.38,0,29
85,62.9,110.026,3.856,0,23
86,63.64,110.026,3.5,0,29
87,64.38,110.026,3.977,0,23
88,65.12,110.026,4.398,0,29
89,65.86,110.026,3.856,0,23
90,66.6,110.026,3.778,0,23
91,67.34,110.026,4.023,0,29
92,68.08,110.026,3.639,0,23
93,68.82,110.026,3.69,0,23
94,69.56,110.026,4.005,0,23
95,70.3,110.026,3.736,0,29
96,71.04,110.026,4.454,0,23
97,71.78,110.026,4.005,0,23
98,72.52,110.026,3.968,0,23
99,73.26,110.026,3.806,0,17
100,74,110.026,5.255,0,82
101,74.74,110.026,4.157,0,35
102,75.48,110.026,3.949,0,23
103,76.22,110.026,4.407,0,29
104,76.96,110.026,4.255,0,59
105,77.7,110.026,4.481,0,29
106,78.44,110.026,4.454,0,29
107,79.18,110.026,3.542,0,41
108,79.92,110.026,3.708,0,23
109,80.66,110.026,3.736,0,23
110,81.4,110.026,4.157,0,23
111,82.14,110.026,3.657,0,29
112,82.88,110.026,4.352,0,23
113,83.62,110.026,3.241,0,17
114,84.36,110.026,3.829,0,17
115,85.1,110.026,3.782,0,29
116,85.84,110.026,4.111,0,23
117,86.58,110.026,3.708,0,23
118,87.32,110.026,3.986,0,29
119,88.06,110.026,3.782,0,29
120,88.8,110.026,4.088,0,23
121,89.54,110.026,3.694,0,17
122,90.28,110.026,3.843,0,17
123,91.02,110.026,4.329,0,23
124,91.76,110.026,4.301,0,23
125,92.5,110.026,4.935,0,23
126,93.24,110.026,4.704,0,35
127,93.98,110.026,5.907,0,35
128,94.72,110.026,5.815,0,29
129,95.46,110.026,6.407,0,35
130,96.2,110.026,4.843,0,29
131,96.94,110.026,6.199,0,53
132,97.68,110.026,6.787,0,41
133,98.42,110.026,5.167,0,29
134,99.16,110.026,5.931,0,35
135,99.9,110.026,4.773,0,23
136,100.64,110.026,4.458,0,29
137,101.38,110.026,4.917,0,29
138,102.12,110.026,4.194,0,29
139,102.86,110.026,4.269,0,23
140,103.6,110.026,3.657,0,23
141,104.34,110.026,4.014,0,17
142,105.08,110.026,4.329,0,35
143,105.82,110.026,3.773,0,23
144,106.56,110.026,4.319,0,29
145,107.3,110.026,4.343,0,29
146,108.04,110.026,4.565,0,41
147,108.78,110.026,4.537,0,29
148,109.52,110.026,4.245,0,29
149,110.26,110.026,4.458,0,29
150,111,110.026,4.829,0,130
151,111.74,110.026,4.806,0,29
152,112.48,110.026,4.81,0,29
153,113.22,110.026,4.079,0,23
154,113.96,110.026,3.981,0,35
155,114.7,110.026,4.606,0,23
156,115.44,110.026,4.009,0,35
157,116.18,110.026,4.472,0,35
158,116.92,110.026,4.556,0,29
159,117.66,110.026,3.63,0,23
160,118.4,110.026,3.727,0,23
161,119.14,110.026,4.944,0,41
162,119.88,110.026,5.032,0,29
163,120.62,110.026,5.009,0,23
164,121.36,110.026,3.458,0,23
165,122.1,110.026,3.542,0,29
166,122.84,110.026,4.505,0,29
167,123.58,110.026,4.245,0,23
168,124.32,110.026,4.435,0,29
169,125.06,110.026,3.921,0,23
170,125.8,110.026,4.218,0,23
171,126.54,110.026,3.894,0,23
172,127.28,110.026,5.37,0,29
173,128.02,110.026,4.523,0,23
174,128.76,110.026,5,0,23
175,129.5,110.026,4.833,0,23
176,130.24,110.026,6.343,0,35
177,130.98,110.026,6.782,0,41
178,131.72,110.026,6.315,0,47
179,132.46,110.026,5.745,0,29
180,133.2,110.026,4.213,0,23
181,133.94,110.026,5.463,0,41
182,134.68,110.026,5.912,0,23
183,135.42,110.026,5.894,0,35
184,136.16,110.026,6.431,0,94
185,136.9,110.026,4.954,0,29
186,137.64,110.026,4.556,0,29
187,138.38,110.026,5.231,0,35
188,139.12,110.026,4.093,0,23
189,139.86,110.026,4.981,0,23
190,140.6,110.026,4.519,0,29
191,141.34,110.026,4.208,0,23
192,142.08,110.026,4.681,0,29
193,142.82,110.026,4.495,0,29
194,143.56,110.026,4.759,0,35
195,144.3,110.026,4.759,0,29
196,145.04,110.026,3.366,0,17
197,145.78,110.026,4.713,0,35
198,146.52,110.026,4.167,0,35
199,147.26,110.026,4.407,0,23
200,148,110.026,4.556,0,29
201,148.74,110.026,4.63,0,35
202,149.48,110.026,4.662,0,29
203,150.22,110.026,4.301,0,17
204,150.96,110.026,4.417,0,29
205,151.7,110.026,4.394,0,29
206,152.44,110.026,3.949,0,23
207,153.18,110.026,4.046,0,23
208,153.92,110.026,3.991,0,35
209,154.66,110.026,5.319,0,35
210,155.4,110.026,5.306,0,29
211,156.14,110.026,4.231,0,29
212,156.88,110.026,3.222,0,17
213,157.62,110.026,4.556,0,23
214,158.36,110.026,5.282,0,23
215,159.1,110.026,5.042,0,29
216,159.84,110.026,3.977,0,29
217,160.58,110.026,4.093,0,17
218,161.32,110.026,4.009,0,23
219,162.06,110.026,4.449,0,29
220,162.8,110.026,4.505,0,29
221,163.54,110.026,4.606,0,23
222,164.28,110.026,4.259,0,23
223,165.02,110.026,4.833,0,35
224,165.76,110.026,4.838,0,23
225,166.5,110.026,6.134,0,35
226,167.24,110.026,6.366,0,35
227,167.98,110.026,4.88,0,35
228,168.72,110.026,5.75,0,29
229,169.46,110.026,7.236,0,65
230,170.2,110.026,7.523,0,41
231,170.94,110.026,7.648,0,213
232,171.68,110.026,5.699,0,29
233,172.42,110.026,4.093,0,23
234,173.16,110.026,6.449,0,35
235,173.9,110.026,6.296,0,41
236,174.64,110.026,5.454,0,29
237,175.38,110.026,5.292,0,35
238,176.12,110.026,4.435,0,29
239,176.86,110.026,5.194,0,35
240,177.6,110.026,5.231,0,29
241,178.34,110.026,4.528,0,23
242,179.08,110.026,4.75,0,23
243,179.82,110.026,4.106,0,23
244,180.56,110.026,3.94,0,29
245,181.3,110.026,4.102,0,29
246,182.04,110.026,4.181,0,29
247,182.78,110.026,4.463,0,23
248,183.52,110.026,4.468,0,23
249,184.26,110.026,4.134,0,41
250,185,110.026,4.412,0,29
251,185.74,110.026,4.014,0,23
252,186.48,110.026,4.019,0,23
253,187.22,110.026,4.333,0,29
254,187.96,110.026,3.301,0,23
255,188.7,110.026,3.764,0,29
256,189.44,110.026,4.287,0,29
257,190.18,110.026,4.31,0,124
258,190.92,110.026,3.273,0,23
259,191.66,110.026,4.222,0,23
260,192.4,110.026,4.778,0,23
261,193.14,110.026,4.685,0,35
262,193.88,110.026,4.565,0,35
263,194.62,110.026,4.227,0,35
264,195.36,110.026,3.935,0,23
265,196.1,110.026,4.134,0,23
266,196.84,110.026,4.759,0,41
267,197.58,110.026,4.602,0,23
268,198.32,110.026,5.491,0,23
269,199.06,110.026,4.898,0,29
270,199.8,110.026,4.056,0,23
271,200.54,110.026,5.167,0,29
272,201.28,110.026,5.815,0,29
273,202.02,110.026,5.866,0,35
274,202.76,110.026,5.611,0,29
275,203.5,110.026,5.819,0,35
276,204.24,110.026,5.287,0,47
277,204.98,110.026,5.833,0,29
278,205.72,110.026,6.102,0,41
279,206.46,110.026,6,0,35
280,207.2,110.026,4.843,0,29
281,207.94,110.026,4.231,0,23
282,208.68,110.026,4.292,0,23
283,209.42,110.026,4.481,0,35
284,210.16,110.026,5.069,0,23
285,210.9,110.026,4.116,0,23
286,211.64,110.026,4.361,0,29
287,212.38,110.026,3.861,0,23
288,213.12,110.026,4.755,0,29
289,213.86,110.026,5.458,0,35
290,214.6,110.026,4.12,0,29
291,215.34,110.026,4.542,0,23
292,216.08,110.026,3.773,0,23
293,216.82,110.026,3.866,0,23
294,217.56,110.026,4.037,0,29
295,218.3,110.026,4.106,0,29
296,219.04,110.026,4.606,0,23
297,219.78,110.026,4.671,0,29
298,220.52,110.026,4.685,0,41
299,221.26,110.026,5.31,0,23
300,222,110.026,4.782,0,35
301,222.74,110.026,5.06,0,29
302,223.48,110.026,4.19,0,41
303,224.22,110.026,4.583,0,29
304,224.96,110.026,4.056,0,17
305,225.7,110.026,3.977,0,23
306,226.44,110.026,3.426,0,23
307,227.18,110.026,3.778,0,23
308,227.92,110.026,5.231,0,35
309,228.66,110.026,5.968,0,71
310,229.4,110.026,6.421,0,41
311,230.14,110.026,6.722,0,35
312,230.88,110.026,6.745,0,41
313,231.62,110.026,6.356,0,35
314,232.36,110.026,5.977,0,35
315,233.1,110.026,4.306,0,29
316,233.84,110.026,4.681,0,23
317,234.58,110.026,5.278,0,35
318,235.32,110.026,5.301,0,29
319,236.06,110.026,5.236,0,35
320,236.8,110.026,4.227,0,29
321,237.54,110.026,5.481,0,41
322,238.28,110.026,4.569,0,29
323,239.02,110.026,5.208,0,29
324,239.76,110.026,4.38,0,29
325,240.5,110.026,4.236,0,23
326,241.24,110.026,4.194,0,29
327,241.98,110.026,4.051,0,35
328,242.72,110.026,4.44,0,23
329,243.46,110.026,4.375,0,23
330,244.2,110.026,3.472,0,23
331,244.94,110.026,3.884,0,29
332,245.68,110.026,4.528,0,29
333,246.42,110.026,4.014,0,29
334,247.16,110.026,3.569,0,17
335,247.9,110.026,4.236,0,23
336,248.64,110.026,3.852,0,29
337,249.38,110.026,4.023,0,23
338,250.12,110.026,3.44,0,17
339,250.86,110.026,3.477,0,29
340,251.6,110.026,4.176,0,23
341,252.34,110.026,3.625,0,29
342,253.08,110.026,4.227,0,29
343,253.82,110.026,4.315,0,29
344,254.56,110.026,3.884,0,23
345,255.3,110.026,4.167,0,29
346,256.04,110.026,4.565,0,29
347,256.78,110.026,4.31,0,29
348,257.52,110.026,3.426,0,23
