Frame,Time,Dextran_Area,Dextran_Mean,Dextran_Min,Dextran_Max
1,0.74,90.161,4.588,3,26
2,1.48,90.161,4.605,3,13
3,2.22,90.161,5.401,3,24
4,2.96,90.161,4.989,3,19
5,3.7,90.161,5.175,3,24
6,4.44,90.161,4.475,3,16
7,5.18,90.161,4.475,3,24
8,5.92,90.161,4.853,3,16
9,6.66,90.161,4.825,3,23
10,7.4,90.161,5.305,3,39
11,8.14,90.161,5.887,3,28
12,8.88,90.161,6.068,4,22
13,9.62,90.161,5.339,3,20
14,10.36,90.161,5.198,3,22
15,11.1,90.161,5.429,3,27
16,11.84,90.161,6.079,3,24
17,12.58,90.161,6.124,3,24
18,13.32,90.161,6.593,3,46
19,14.06,90.161,5.362,3,27
20,14.8,90.161,4.91,3,18
21,15.54,90.161,5.254,3,38
22,16.28,90.161,5.316,3,22
23,17.02,90.161,4.825,3,21
24,17.76,90.161,5.48,4,22
25,18.5,90.161,5.062,3,23
26,19.24,90.161,5.65,3,31
27,19.98,90.161,4.684,3,18
28,20.72,90.161,5.068,3,19
29,21.46,90.161,5.723,3,38
30,22.2,90.161,5.904,3,36
31,22.94,90.161,5.051,3,18
32,23.68,90.161,5.056,3,17
33,24.42,90.161,4.864,3,21
34,25.16,90.161,5.294,3,13
35,25.9,90.161,5.322,3,33
36,26.64,90.161,5.299,4,17
37,27.38,90.161,5.328,3,21
38,28.12,90.161,5.316,3,34
39,28.86,90.161,4.966,3,28
40,29.6,90.161,5.486,3,28
41,30.34,90.161,5.017,3,16
42,31.08,90.161,5.102,3,26
43,31.82,90.161,5.35,3,29
44,32.56,90.161,4.78,3,29
45,33.3,90.161,5.356,3,27
46,34.04,90.161,5.096,3,20
47,34.78,90.161,5.164,3,28
48,35.52,90.161,4.91,3,33
49,36.26,90.161,4.746,3,36
50,37,90.161,5.136,3,28
51,37.74,90.161,4.723,3,18
52,38.48,90.161,4.966,3,13
53,39.22,90.161,5.379,3,24
54,39.96,90.161,4.977,3,32
55,40.7,90.161,4.723,3,27
56,41.44,90.161,4.802,3,17
57,42.18,90.161,6.226,3,26
58,42.92,90.161,5.181,3,30
59,43.66,90.161,4.944,3,19
60,44.4,90.161,5.311,3,24
61,45.14,90.161,5.395,3,25
62,45.88,90.161,5.226,3,25
63,46.62,90.161,5.554,3,27
64,47.36,90.161,5.876,3,32
